Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P0A812	ruvB b1860 JW1849	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	5 out of 5	recombinational repair [GO:0000725]; response to UV [GO:0009411]; SOS response [GO:0009432]	ecj:JW1849;eco:b1860;	PF17864;PF05491;PF05496;	AAC74930;BAA15671;	EcoCyc:EG10924-MONOMER;ECOL316407:JW1849-MONOMER;MetaCyc:EG10924-MONOMER;
P0AGH3	sapB b1293 JW1286	Putrescine export system permease protein SapB	4 out of 5	putrescine transport [GO:0015847]	ecj:JW1286;eco:b1293;	PF00528;	AAC74375;BAA14854;	EcoCyc:SAPB-MONOMER;ECOL316407:JW1286-MONOMER;MetaCyc:SAPB-MONOMER;
P0A809	ruvA b1861 JW1850	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	5 out of 5	protein homotetramerization [GO:0051289]; recombinational repair [GO:0000725]; response to radiation [GO:0009314]; SOS response [GO:0009432]	ecj:JW1850;eco:b1861;	PF07499;PF01330;	AAC74931;BAA15672;	EcoCyc:EG10923-MONOMER;ECOL316407:JW1850-MONOMER;MetaCyc:EG10923-MONOMER;
P37679	sgbU yiaR b3582 JW5650	Putative L-ribulose-5-phosphate 3-epimerase SgbU (EC 5.1.3.22) (L-xylulose-5-phosphate 3-epimerase)	3 out of 5	DNA repair [GO:0006281]; L-ascorbic acid metabolic process [GO:0019852]; L-lyxose metabolic process [GO:0019324]	ecj:JW5650;eco:b3582;	PF01261;	AAC76606;BAE77711;	EcoCyc:EG12286-MONOMER;ECOL316407:JW5650-MONOMER;
P08390	usg b2319 JW2316	USG-1 protein	2 out of 5	cellular amino acid biosynthetic process [GO:0008652]	ecj:JW2316;eco:b2319;	PF01118;PF02774;	AAC75379;BAA16176;	EcoCyc:EG11059-MONOMER;ECOL316407:JW2316-MONOMER;
P39301	ulaA sgaT yjfS b4193 JW5744	Ascorbate-specific PTS system EIIC component (Ascorbate-specific permease IIC component UlaA)	5 out of 5	L-ascorbic acid transmembrane transport [GO:0015882]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW5744;eco:b4193;	PF03611;	AAC77150;BAE78194;	EcoCyc:SGAT-MONOMER;ECOL316407:JW5744-MONOMER;MetaCyc:SGAT-MONOMER;
P56258	wecF rffT yifM b4481 JW5596	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	3 out of 5	enterobacterial common antigen biosynthetic process [GO:0009246]	ecj:JW5596;eco:b4481;	PF07429;	AAT48215;BAE77505;	EcoCyc:G7800-MONOMER;ECOL316407:JW5596-MONOMER;MetaCyc:G7800-MONOMER;
P45563	xapA pndA b2407 JW2398	Purine nucleoside phosphorylase 2 (EC 2.4.2.1) (Inosine-guanosine phosphorylase) (Purine nucleoside phosphorylase II) (PNP II) (Xanthosine phosphorylase)	5 out of 5	deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; guanosine catabolic process [GO:0046115]; inosine catabolic process [GO:0006148]; nucleobase-containing small molecule interconversion [GO:0015949]; nucleobase-containing small molecule metabolic process [GO:0055086]; protein hexamerization [GO:0034214]; purine nucleoside catabolic process [GO:0006152]; xanthosine catabolic process [GO:1903228]	ecj:JW2398;eco:b2407;	PF01048;	AAC75460;BAA16275;	EcoCyc:XANTHOSINEPHOSPHORY-MONOMER;ECOL316407:JW2398-MONOMER;MetaCyc:XANTHOSINEPHOSPHORY-MONOMER;
P32057	wcaI yefD b2050 JW2035	Putative colanic acid biosynthesis glycosyl transferase WcaI	2 out of 5	colanic acid metabolic process [GO:0046377]; lipopolysaccharide biosynthetic process [GO:0009103]; slime layer polysaccharide biosynthetic process [GO:0045228]	ecj:JW2035;eco:b2050;	PF13579;PF00534;	AAC75111;BAA15906;	EcoCyc:EG11790-MONOMER;ECOL316407:JW2035-MONOMER;
P00944	xylA b3565 JW3537	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)	4 out of 5	D-xylose catabolic process [GO:0042843]	ecj:JW3537;eco:b3565;		AAC76589;BAE77728;	EcoCyc:XYLISOM-MONOMER;ECOL316407:JW3537-MONOMER;MetaCyc:XYLISOM-MONOMER;
P71238	wcaD b2056 JW2041	Putative colanic acid polymerase	2 out of 5	colanic acid metabolic process [GO:0046377]; lipopolysaccharide biosynthetic process [GO:0009103]; slime layer polysaccharide biosynthetic process [GO:0045228]	ecj:JW2041;eco:b2056;		AAC75117;BAE76573;	EcoCyc:G7101-MONOMER;ECOL316407:JW2041-MONOMER;
P09099	xylB b3564 JW3536	Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-)	5 out of 5	D-xylose catabolic process [GO:0042843]; xylulose catabolic process [GO:0005998]	ecj:JW3536;eco:b3564;	PF02782;PF00370;	AAC76588;BAE77729;	EcoCyc:XYLULOKIN-MONOMER;ECOL316407:JW3536-MONOMER;MetaCyc:XYLULOKIN-MONOMER;
P75809	ybjI b0844 JW5113	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI (EC 3.1.3.104)	5 out of 5	riboflavin biosynthetic process [GO:0009231]	ecj:JW5113;eco:b0844;		AAC73931;BAA35548;	EcoCyc:G6442-MONOMER;ECOL316407:JW5113-MONOMER;MetaCyc:G6442-MONOMER;
P28916	ybfD b0706 JW0696	H repeat-associated putative transposase YbfD (ORF-H3)	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW0696;eco:b0706;	PF01609;PF13808;	AAC73800;BAA35365;	EcoCyc:EG11524-MONOMER;ECOL316407:JW0696-MONOMER;
P75829	ybjX b0877 JW0861	Uncharacterized protein YbjX	1 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW0861;eco:b0877;	PF04393;	AAC73964;BAA35595;	EcoCyc:G6460-MONOMER;ECOL316407:JW0861-MONOMER;
P75955	ycfT b1115 JW1101	Inner membrane protein YcfT	2 out of 5		ecj:JW1101;eco:b1115;	PF01757;	AAC74199;BAA35930;	EcoCyc:G6572-MONOMER;ECOL316407:JW1101-MONOMER;
P22525	ycbB b0925 JW0908	Probable L,D-transpeptidase YcbB (EC 2.-.-.-)	5 out of 5	cellular response to DNA damage stimulus [GO:0006974]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	ecj:JW0908;eco:b0925;	PF01471;PF03734;	AAC74011;BAA35671;	EcoCyc:EG11253-MONOMER;ECOL316407:JW0908-MONOMER;MetaCyc:EG11253-MONOMER;
P45807	ybaM b0466 JW0455	Uncharacterized protein YbaM	1 out of 5	cellular response to cell envelope stress [GO:0036460]	ecj:JW0455;eco:b0466;	PF10689;	AAC73568;BAE76245;	EcoCyc:EG12830-MONOMER;ECOL316407:JW0455-MONOMER;
P0AAS3	ybbJ b0488 JW5065	Inner membrane protein YbbJ	2 out of 5		ecj:JW5065;eco:b0488;	PF01957;	AAC73590;BAE76267;	EcoCyc:G6264-MONOMER;ECOL316407:JW5065-MONOMER;
P0AAC4	ybhL b0786 JW0769	Inner membrane protein YbhL	2 out of 5		ecj:JW0769;eco:b0786;	PF01027;	AAC73873;BAA35444;	EcoCyc:G6403-MONOMER;ECOL316407:JW0769-MONOMER;
P0DSE3	yadX b4765	Protein YadX	1 out of 5					
P75711	ybbV b0510 JW0498	Uncharacterized protein YbbV	1 out of 5		ecj:JW0498;		BAE76288;	ECOL316407:JW0498-MONOMER;
P77506	ybdJ b0580 JW0569	Uncharacterized protein YbdJ	1 out of 5		ecj:JW0569;eco:b0580;	PF06643;	AAC73681;BAA35220;	EcoCyc:G6325-MONOMER;ECOL316407:JW0569-MONOMER;
P77795	ydcT b1441 JW1436	Uncharacterized ABC transporter ATP-binding protein YdcT	2 out of 5		ecj:JW1436;eco:b1441;	PF00005;PF08402;	AAC74523;BAA15070;	EcoCyc:YDCT-MONOMER;ECOL316407:JW1436-MONOMER;MetaCyc:YDCT-MONOMER;
P0ACW4	ydcA b1419 JW1416	Uncharacterized protein YdcA	1 out of 5		ecj:JW1416;eco:b1419;		AAC74501;BAA15040;	EcoCyc:EG11219-MONOMER;ECOL316407:JW1416-MONOMER;
P31827	yddB b1495 JW1490	Uncharacterized protein YddB (CDS103)	1 out of 5		ecj:JW1490;eco:b1495;	PF07715;	AAC74568;BAA15166;	EcoCyc:EG11743-MONOMER;ECOL316407:JW1490-MONOMER;
P76034	yciT b1284 JW1276	Uncharacterized HTH-type transcriptional regulator YciT	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	ecj:JW1276;eco:b1284;	PF00455;PF08220;	AAC74366;BAA14838;	EcoCyc:G6638-MONOMER;ECOL316407:JW1276-MONOMER;
P0AD05	yecA b1908 JW1896	Uncharacterized protein YecA	1 out of 5		ecj:JW1896;eco:b1908;	PF02810;PF03695;	AAC74978;BAA15731;	EcoCyc:EG11139-MONOMER;ECOL316407:JW1896-MONOMER;
P76335	yedS b4496 JW5319/JW1948/JW1949 b1964/b1965/b1966	Putative outer membrane protein YedS	2 out of 5	ion transmembrane transport [GO:0034220]		PF00267;		
P76389	yegH b2063 JW5336	UPF0053 protein YegH	2 out of 5		ecj:JW5336;eco:b2063;	PF00571;PF03471;PF03741;	AAC75124;BAA15916;	EcoCyc:G7108-MONOMER;ECOL316407:JW5336-MONOMER;
P0DSE9	ychT b4771	Protein YchT	1 out of 5					
P77736	yahD b0318 JW0310	Putative ankyrin repeat protein YahD	1 out of 5	response to radiation [GO:0009314]	ecj:JW0310;eco:b0318;	PF12796;	AAC73421;BAE76101;	EcoCyc:G6183-MONOMER;ECOL316407:JW0310-MONOMER;
P77713	yagH b0271 JW0264	Putative beta-xylosidase (EC 3.2.1.37) (1,4-beta-D-xylan xylohydrolase) (Xylan 1,4-beta-xylosidase)	2 out of 5	xylan catabolic process [GO:0045493]	ecj:JW0264;eco:b0271;	PF17851;PF04616;	AAC73374;BAE76055;	EcoCyc:G6143-MONOMER;ECOL316407:JW0264-MONOMER;
P75968	ymfE b1138 JW5166	Uncharacterized protein YmfE	1 out of 5		ecj:JW5166;eco:b1138;		AAC74222;BAE76376;	EcoCyc:G6583-MONOMER;ECOL316407:JW5166-MONOMER;
Q46840	yghO b2981 JW5848	Protein YghO	2 out of 5		ecj:JW5848;		BAE77042;	EcoCyc:G7547-MONOMER;ECOL316407:JW5848-MONOMER;
P0DPO0	ymgM b4740	Protein YmgM	1 out of 5					
P75977	ymfM b1148 JW1134	Uncharacterized protein YmfM	1 out of 5		ecj:JW1134;eco:b1148;		AAC74232;BAE76380;	EcoCyc:G6592-MONOMER;ECOL316407:JW1134-MONOMER;
P42591	ygjJ b3079 JW3050	Uncharacterized protein YgjJ	1 out of 5		ecj:JW3050;eco:b3079;		AAC76114;BAE77129;	EcoCyc:G7598-MONOMER;ECOL316407:JW3050-MONOMER;
P0ADU5	ygiW b3024 JW2992	Protein YgiW	2 out of 5	cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; single-species biofilm formation on inanimate substrate [GO:0044011]	ecj:JW2992;eco:b3024;	PF04076;	AAC76060;BAE77080;	EcoCyc:G7574-MONOMER;ECOL316407:JW2992-MONOMER;
P75804	yliI b0837 JW0821	Aldose sugar dehydrogenase YliI (Asd) (EC 1.1.5.-) (Soluble aldose sugar dehydrogenase YliI)	5 out of 5		ecj:JW0821;eco:b0837;	PF07995;	AAC73924;BAA35540;	EcoCyc:G6437-MONOMER;ECOL316407:JW0821-MONOMER;MetaCyc:G6437-MONOMER;
C1P5Z8	ykgR b4671 JW5035.1	Uncharacterized membrane protein YkgR	2 out of 5		eco:b4671;		ACO59990;	EcoCyc:MONOMER0-2881;
P55140	ygcG b2778 JW5445	UPF0603 protein YgcG	2 out of 5		ecj:JW5445;eco:b2778;	PF04536;	AAC75820;BAE76852;	EcoCyc:G7444-MONOMER;ECOL316407:JW5445-MONOMER;
P0AAA5	ymcE sfa b0991 JW0975	Uncharacterized protein YmcE	2 out of 5		ecj:JW0975;eco:b0991;	PF15939;	AAC74076;BAA35757;	EcoCyc:G6512-MONOMER;ECOL316407:JW0975-MONOMER;
Q46803	ygeW b2870 JW5463	Putative carbamoyltransferase YgeW (EC 2.1.3.-) (UTCase)	3 out of 5	arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240]	ecj:JW5463;eco:b2870;	PF00185;PF02729;	AAT48152;BAE76936;	EcoCyc:G7489-MONOMER;ECOL316407:JW5463-MONOMER;
P39389	yjiR b4340 JW4303	Uncharacterized HTH-type transcriptional regulator YjiR	2 out of 5	alpha-amino acid metabolic process [GO:1901605]; transcription, DNA-templated [GO:0006351]	ecj:JW4303;eco:b4340;	PF00155;PF00392;	AAC77296;BAE78332;	EcoCyc:G7936-MONOMER;ECOL316407:JW4303-MONOMER;
P39336	yjgL b4253 JW5757	Uncharacterized protein YjgL	1 out of 5		ecj:JW5757;eco:b4253;		AAC77210;BAE78250;	EcoCyc:G7884-MONOMER;ECOL316407:JW5757-MONOMER;
P46474	yhdP yhdQ yhdR b4472 JW5542	Uncharacterized protein YhdP	2 out of 5		ecj:JW5542;eco:b4472;	PF13502;PF13116;	AAT48173;BAE77288;	EcoCyc:G7690-MONOMER;ECOL316407:JW5542-MONOMER;
P23839	yicC b3644 JW3619	UPF0701 protein YicC	1 out of 5		ecj:JW3619;eco:b3644;	PF08340;PF03755;	AAC76668;BAE77649;	EcoCyc:EG11192-MONOMER;ECOL316407:JW3619-MONOMER;
P32108	yibI b3598 JW3572	Uncharacterized protein YibI	1 out of 5		ecj:JW3572;eco:b3598;	PF11742;	AAC76622;BAE77695;	EcoCyc:EG11765-MONOMER;ECOL316407:JW3572-MONOMER;
P39836	yfeH b2410 JW5876	Putative symporter YfeH	2 out of 5		ecj:JW5876;eco:b2410;	PF13593;	AAC75463;BAA16281;	EcoCyc:EG12376-MONOMER;ECOL316407:JW5876-MONOMER;
P32157	yiiM b3910 JW5559	Protein YiiM	3 out of 5	response to toxic substance [GO:0009636]; toxin catabolic process [GO:0009407]	ecj:JW5559;eco:b3910;	PF03475;PF03473;	AAC76892;BAE77399;	EcoCyc:EG11870-MONOMER;ECOL316407:JW5559-MONOMER;
P76576	yfgM b2513 JW2497	UPF0070 protein YfgM	2 out of 5		ecj:JW2497;eco:b2513;	PF09976;	AAC75566;BAA16399;	EcoCyc:G7321-MONOMER;ECOL316407:JW2497-MONOMER;
P31463	yidZ b3711 JW3689	HTH-type transcriptional regulator YidZ	2 out of 5	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	ecj:JW3689;eco:b3711;	PF00126;PF03466;	AAC76734;BAE77579;	EcoCyc:EG11721-MONOMER;ECOL316407:JW3689-MONOMER;
P76228	ynjI b1762 JW5288	Inner membrane protein YnjI	2 out of 5		ecj:JW5288;eco:b1762;	PF06889;	AAC74832;BAE76524;	EcoCyc:G6956-MONOMER;ECOL316407:JW5288-MONOMER;
P0ADN2	yifE b3764 JW3737	UPF0438 protein YifE	3 out of 5	chromosome organization [GO:0051276]; chromosome segregation [GO:0007059]	ecj:JW3737;eco:b3764;	PF04219;	AAC77485;BAE77531;	EcoCyc:EG11450-MONOMER;ECOL316407:JW3737-MONOMER;
P76584	yphB b2544 JW2528	Uncharacterized protein YphB	2 out of 5	cellular response to DNA damage stimulus [GO:0006974]; galactose catabolic process via UDP-galactose [GO:0033499]; glucose metabolic process [GO:0006006]	ecj:JW2528;eco:b2544;	PF01263;	AAC75597;BAE76730;	EcoCyc:G7338-MONOMER;ECOL316407:JW2528-MONOMER;
P78067	ynjE b1757 JW5287	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)	3 out of 5	transsulfuration [GO:0019346]	ecj:JW5287;eco:b1757;	PF00581;	AAC74827;BAA15548;	EcoCyc:G6952-MONOMER;ECOL316407:JW5287-MONOMER;MetaCyc:G6952-MONOMER;
P33020	yeiI b2160 JW2147	Uncharacterized sugar kinase YeiI (EC 2.7.1.-)	2 out of 5		ecj:JW2147;eco:b2160;	PF00294;	AAC75221;BAE76637;	EcoCyc:EG12028-MONOMER;ECOL316407:JW2147-MONOMER;
P76150	yneK b1527 JW1520	Uncharacterized protein YneK	1 out of 5		ecj:JW1520;eco:b1527;		AAC74600;BAE76462;	EcoCyc:G6813-MONOMER;ECOL316407:JW1520-MONOMER;
P33359	yehW b2128 JW2116	Glycine betaine uptake system permease protein YehW	4 out of 5	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	ecj:JW2116;eco:b2128;	PF00528;	AAC75189;BAE76605;	EcoCyc:YEHW-MONOMER;ECOL316407:JW2116-MONOMER;MetaCyc:YEHW-MONOMER;
P76418	yegU b2099 JW2086	Uncharacterized protein YegU (EC 3.2.2.-)	1 out of 5		ecj:JW2086;eco:b2099;	PF03747;	AAC75160;BAE76585;	EcoCyc:G7131-MONOMER;ECOL316407:JW2086-MONOMER;
P32680	yjaG b3999 JW3963	Uncharacterized protein YjaG	1 out of 5		ecj:JW3963;eco:b3999;	PF04222;	AAC76973;BAE77320;	EcoCyc:EG11916-MONOMER;ECOL316407:JW3963-MONOMER;
P0AF45	yjbE b4026 JW3986	Uncharacterized protein YjbE	1 out of 5	extracellular polysaccharide biosynthetic process [GO:0045226]	ecj:JW3986;eco:b4026;	PF11106;	AAC76996;BAE78028;	EcoCyc:EG11923-MONOMER;ECOL316407:JW3986-MONOMER;
P42913	yraH b3142 JW3111	Uncharacterized fimbrial-like protein YraH	3 out of 5	cell adhesion [GO:0007155]; cell adhesion involved in single-species biofilm formation [GO:0043709]; pilus organization [GO:0043711]	ecj:JW3111;eco:b3142;	PF00419;	AAC76176;BAE77188;	EcoCyc:G7637-MONOMER;ECOL316407:JW3111-MONOMER;
Q46809	yqeC b2876 JW5464	Uncharacterized protein YqeC	1 out of 5	biosynthetic process [GO:0009058]	ecj:JW5464;eco:b2876;		AAC75914;BAE76942;	EcoCyc:G7495-MONOMER;ECOL316407:JW5464-MONOMER;
P56256	ysaA b3573 JW3545	Putative electron transport protein YsaA	2 out of 5		ecj:JW3545;eco:b3573;	PF13247;	AAC76597;BAE77720;	EcoCyc:EG12277-MONOMER;ECOL316407:JW3545-MONOMER;
P39317	ytfI b4215 JW5748	Uncharacterized protein YtfI	1 out of 5		ecj:JW5748;eco:b4215;		AAT48243;BAE78216;	EcoCyc:G7870-MONOMER;ECOL316407:JW5748-MONOMER;
P38104	rspA b1581 JW1573	Starvation-sensing protein RspA	2 out of 5	cellular amino acid catabolic process [GO:0009063]	ecj:JW1573;eco:b1581;	PF13378;PF02746;	AAC74653;BAA15285;	EcoCyc:G6839-MONOMER;ECOL316407:JW1573-MONOMER;
C1P5Z7	sgrT b4662 JW0068.1	Putative inhibitor of glucose uptake transporter SgrT	2 out of 5	negative regulation of glucose import [GO:0046325]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	eco:b4662;	PF15894;	ACO59989;	EcoCyc:MONOMER0-2842;
P0AG93	secF b0409 JW0399	Protein translocase subunit SecF (Sec translocon accessory complex subunit SecF)	4 out of 5	intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport [GO:0015031]; protein transport by the Sec complex [GO:0043952]	ecj:JW0399;eco:b0409;	PF07549;PF02355;	AAC73512;BAE76189;	EcoCyc:SECF;ECOL316407:JW0399-MONOMER;
P75792	ybiV supH b0822 JW0806	Sugar phosphatase YbiV (EC 3.1.3.23)	5 out of 5		ecj:JW0806;eco:b0822;		AAC73909;BAA35503;	EcoCyc:G6425-MONOMER;ECOL316407:JW0806-MONOMER;MetaCyc:G6425-MONOMER;
P77529	tcyP ydjN b1729 JW1718	L-cystine transporter TcyP (S-sulfocysteine transporter)	5 out of 5	L-cystine transport [GO:0015811]; sulfur amino acid transport [GO:0000101]; sulfur utilization [GO:0006791]	ecj:JW1718;eco:b1729;	PF00375;	AAC74799;BAA15509;	EcoCyc:G6934-MONOMER;ECOL316407:JW1718-MONOMER;MetaCyc:G6934-MONOMER;
Q2EES9	torI b4501 JW5387	Response regulator inhibitor for tor operon (Tor inhibitor)	4 out of 5	DNA excision [GO:0044349]; DNA recombination [GO:0006310]; negative regulation of DNA-templated transcription, initiation [GO:2000143]	ecj:JW5387;eco:b4501;		ABD18695;BAE76704;	EcoCyc:MONOMER0-1641;ECOL316407:JW5387-MONOMER;
P14294	topB b1763 JW1752	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	5 out of 5	chromosome separation [GO:0051304]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]	ecj:JW1752;eco:b1763;	PF01131;PF01751;	AAC74833;BAA15551;	EcoCyc:EG11014-MONOMER;ECOL316407:JW1752-MONOMER;MetaCyc:EG11014-MONOMER;
P0AGM9	xanP yicE b3654 JW3629	Xanthine permease XanP	4 out of 5	xanthine transport [GO:0042906]	ecj:JW3629;eco:b3654;	PF00860;	AAC76678;BAE77639;	EcoCyc:YICE-MONOMER;ECOL316407:JW3629-MONOMER;MetaCyc:YICE-MONOMER;
P45562	xapB b2406 JW2397	Xanthosine permease (Xanthosine transporter)	5 out of 5	nucleobase-containing small molecule metabolic process [GO:0055086]; nucleoside transport [GO:0015858]; organic substance transport [GO:0071702]	ecj:JW2397;eco:b2406;	PF03825;	AAC75459;BAA16274;	EcoCyc:XAPB-MONOMER;ECOL316407:JW2397-MONOMER;MetaCyc:XAPB-MONOMER;
P77499	sufC ynhD b1682 JW1672	Probable ATP-dependent transporter SufC	5 out of 5	iron-sulfur cluster assembly [GO:0016226]; response to radiation [GO:0009314]	ecj:JW1672;eco:b1682;	PF00005;	AAC74752;BAA15455;	EcoCyc:G6908-MONOMER;ECOL316407:JW1672-MONOMER;
P75851	ssuC ycbM b0934 JW5121	Putative aliphatic sulfonates transport permease protein SsuC	3 out of 5	alkanesulfonate transport [GO:0042918]; sulfur compound metabolic process [GO:0006790]	ecj:JW5121;eco:b0934;	PF00528;	AAC74020;BAA35689;	EcoCyc:YCBM-MONOMER;ECOL316407:JW5121-MONOMER;MetaCyc:YCBM-MONOMER;
P0AGF6	tdcB b3117 JW3088	L-threonine dehydratase catabolic TdcB (EC 4.3.1.19) (L-serine dehydratase) (EC 4.3.1.17) (Threonine deaminase)	5 out of 5	L-serine catabolic process [GO:0006565]; L-threonine catabolic process to propionate [GO:0070689]; protein homotetramerization [GO:0051289]; threonine catabolic process [GO:0006567]	ecj:JW3088;eco:b3117;	PF00291;	AAC76152;BAE77166;	EcoCyc:THREDEHYDCAT-MONOMER;ECOL316407:JW3088-MONOMER;MetaCyc:THREDEHYDCAT-MONOMER;
Q46927	tcdA csdL ygdL b2812 JW2783	tRNA threonylcarbamoyladenosine dehydratase (EC 6.1.-.-) (t(6)A37 dehydratase)	5 out of 5	cyclic threonylcarbamoyladenosine biosynthetic process [GO:0061504]	ecj:JW2783;eco:b2812;	PF00899;	AAC75854;BAE76884;	EcoCyc:G7456-MONOMER;ECOL316407:JW2783-MONOMER;MetaCyc:G7456-MONOMER;
P0A8I5	trmB trmI yggH b2960 JW2927	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	5 out of 5	RNA (guanine-N7)-methylation [GO:0036265]; tRNA methylation [GO:0030488]	ecj:JW2927;eco:b2960;	PF02390;	AAC75997;BAE77023;	EcoCyc:EG11779-MONOMER;ECOL316407:JW2927-MONOMER;MetaCyc:EG11779-MONOMER;
P0A873	trmD b2607 JW2588	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	5 out of 5	tRNA methylation [GO:0030488]; tRNA N1-guanine methylation [GO:0002939]	ecj:JW2588;eco:b2607;	PF01746;	AAC75656;BAA16492;	EcoCyc:EG11023-MONOMER;ECOL316407:JW2588-MONOMER;MetaCyc:EG11023-MONOMER;
P46923	torZ bisZ b1872 JW1861	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)	4 out of 5	anaerobic respiration [GO:0009061]	ecj:JW1861;eco:b1872;	PF00384;PF18364;PF01568;	AAC74942;BAA15682;	EcoCyc:G7022-MONOMER;ECOL316407:JW1861-MONOMER;MetaCyc:G7022-MONOMER;
P33225	torA b0997 JW0982	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)	5 out of 5	aerobic respiration [GO:0009060]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]	ecj:JW0982;eco:b0997;	PF00384;PF18364;PF01568;	AAC74082;BAA36139;	EcoCyc:TORA-MONOMER;ECOL316407:JW0982-MONOMER;MetaCyc:TORA-MONOMER;
P60932	uppP bacA upk b3057 JW3029	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	5 out of 5	cell wall organization [GO:0071555]; dephosphorylation [GO:0016311]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	ecj:JW3029;eco:b3057;	PF02673;	AAC76093;BAE77108;	EcoCyc:EG11665-MONOMER;ECOL316407:JW3029-MONOMER;MetaCyc:EG11665-MONOMER;
P0AED5	uvrY yecB b1914 JW1899	Response regulator UvrY	3 out of 5	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1899;eco:b1914;	PF00196;PF00072;	AAC74981;BAA15734;	EcoCyc:EG11140-MONOMER;ECOL316407:JW1899-MONOMER;
P77300	xynR yagI b0272 JW0265	HTH-type transcriptional regulator XynR (Regulator of xylonate catabolism)	4 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; single-species biofilm formation [GO:0044010]; transcription, DNA-templated [GO:0006351]	ecj:JW0265;eco:b0272;	PF09339;PF01614;	AAC73375;BAE76056;	EcoCyc:G6144-MONOMER;ECOL316407:JW0265-MONOMER;
P37749	wbbI yefG b2034 JW2019	Beta-1,6-galactofuranosyltransferase WbbI (EC 2.4.1.-) (D-Galf:alpha-D-Glc beta-1,6-galactofuranosyltransferase) (GalF transferase)	3 out of 5	lipopolysaccharide biosynthetic process [GO:0009103]	ecj:JW2019;eco:b2034;		AAC75095;BAA15876;	EcoCyc:EG11983-MONOMER;ECOL316407:JW2019-MONOMER;MetaCyc:EG11983-MONOMER;
P64471	ydhI b1643 JW1635	Uncharacterized protein YdhI	1 out of 5		ecj:JW1635;eco:b1643;	PF07869;	AAC74715;BAE76488;	EcoCyc:G6883-MONOMER;ECOL316407:JW1635-MONOMER;
P76198	ydiN b1691 JW5274	Inner membrane transport protein YdiN	2 out of 5		ecj:JW5274;eco:b1691;	PF07690;	AAC74761;BAE76504;	EcoCyc:B1691-MONOMER;ECOL316407:JW5274-MONOMER;
